team_number,name,nickname,location,website
216,Grandville Public Schools/Steelcase/CISCO/Hepfer &amp; Associates &amp; Grandville High School,More RoboDawgs,"Grandville, MI, USA",None
217,Innovation First International / Ford Motor Company / BAE Systems &amp; Utica Community Schools,ThunderChickens,"Sterling Heights, MI, USA",http://www.thunderchickens.org
219,Warren Hills Regional High School,Team Impact,"Washington, NJ, USA",None
221,,,"Houghton, MI, USA",None
222,Guyette Communication/Procter and Gamble/Print to 3D/Fastenal/Northeast PA Industrial Resource Center &amp; Tunkhannock Area High School,Tigertrons,"Tunkhannock, PA, USA",http://www.tigertrons.net/
223,Johnson &amp; Johnson/Ajac Electric &amp; Lakeland Regional High School,Xtreme Heat,"Wanaque, NJ, USA",http://www.team223.com
224,Mars International/F&amp;amp;A Machine/Charter Machine &amp; Piscataway High School,The Tribe,"Piscataway, NJ, USA",http://www.team224.com
225,BAE SYSTEMS / NRG Energy / Fred Dallmeyer Fund of York County Community Fundation / Coupling Corporation of America / St. Onge Company / JMT Engineering &amp; TechFire Robotics of York,TechFire,"York, PA, USA",http://www.techfire225.com/
226,General Motors ME Vehicle Systems/Delphi Foundation/Gallagher-Kaiser Corporation/Troy Foundation for Educational Excellence &amp; Troy School District,Hammerheads,"Troy, MI, USA",http://www.hammerhead226.org/
227,None,None,"None",None
228,Meriden Board Of Education / Bristol-Myers Squibb / Trail of Terror / United Technologies / 3M / R&amp;amp;D Precision &amp; Maloney High School &amp; Platt High School &amp; Wilcox Technical High School,GUS Robotics,"Meriden, CT, USA",http://www.team228.org
229,Clarkson University &amp; Massena High School &amp; Salmon River High School,Division By Zero,"Potsdam, NY, USA",http://www.team229robotics.com
230,United Technologies / Sikorsky / OEM Controls / Pitney Bowes / Intuitive Surgical &amp; Shelton High School,Gaelhawks,"Shelton, CT, USA",http://www.shsrobotics.org
231,The Boeing Company/Texas Workforce Commisson/Oceaneering Space Systems/LyondellBasell &amp; Pasadena ISD,High Voltage,"Pasadena, TX, USA",http://www.team231.com
232,,,"Napa, CA, USA",None
233,NASA Kennedy Space Center/School Board of Brevard County/GovConnection, Inc &amp; Rockledge High School &amp; Cocoa Beach High School &amp; Space Coast Junior Senior High School &amp; Viera High School,The Pink Team,"Rockledge/Cocoa Beach, FL, USA",http://www.thepinkteam.org
234,Allison Transmission / Rolls-Royce / Morris Machine / Indiana Department of Education / Optimized Systems and Solutions / AndyMark / Our Proud Grandmas &amp; Perry Meridian High School,Cyber Blue,"Indianapolis, IN, USA",http://cyberblue234.com/site/
235,DaimlerChrysler/WarrenStamping &amp; Fitzgerald High &amp; A. Philip Randolph &amp; Denby,Motown Live Wires,"Warren, MI, USA",http://team235.netfirms.com
236,Lyme-Old Lyme Education Foundation (LOLEF) / Lyme-Old Lyme Public Schools / Brooks Associates Precision Machine Tools / Dominion Millstone Power Station &amp; Lyme-Old Lyme High School,Techno-Ticks,"Old Lyme, CT, USA",http://www.technoticks236.com
237,Siemon Company/TUV Rheinland/Trumpf &amp; Watertown High School,Black Magic Robotics,"Watertown, CT, USA",http://team237.com/
238,Texas Instruments / BAE Systems / Sunrise Labs Inc. / Millennium Precision  LLC / Batteries + Bulbs / elfTECH / Bosch Powertools Division / CID Construction / MuShield / Wiggins Airways / Temco Tool Co., Inc. / John Tippett / Graffitee Wear &amp; Manchester Memorial High School,Cruisin&#39; Crusaders,"Manchester, NH, USA",http://frc238.from-nh.com
239,None,None,"None",None
240,DTE Energy Foundation/Anonymous/UWUA Local 223/Outta Doe Hunt Club/Guardian Industries/Jefferson Adult Boosters/UAW Local 14 &amp; Jefferson High School Robotics,Tempest,"Monroe, MI, USA",http://www.jefferson.k12.mi.us/Default.aspx?tabid=820
241,BAE Systems &amp; Pinkerton Academy,Astros,"Derry, NH, USA",http://www.team241.org
244,Grandville Public Schools/Steelcase/CISCO/Hepfer &amp; Associates &amp; Grandville High School,RoboDawgs 3D,"Grandville, MI, USA",None
245,GM Global Product Operations / Chrysler Foundation / Plex Systems, Inc. / R &amp; G Drummer / Magna Powertrain / TARDEC_NDEP &amp; Rochester Adams and Stoney Creek High Schools,Adambots,"Rochester Hills, MI, USA",http://www.adambots.com
246,Boston University &amp; Boston University Academy,Overclocked,"Boston, MA, USA",http://www.bu.edu/bufirst/
